2025-08-29 14:58:22 [main] INFO  org.server.Server - Server started, waiting for clients...
2025-08-29 14:58:38 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"USER_LOG_IN","payload":"{\"@json_id\":\"729a5caf-4412-4afb-96fb-f7ba2f3914fa\",\"id\":null,\"userName\":null,\"displayName\":null,\"password\":\"toto\",\"emailAddress\":\"toto1.toto@yahoo.fr\",\"avatar\":null,\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:38 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Starting Post-processing phase
2025-08-29 14:58:38 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Building byLabel lookup maps
2025-08-29 14:58:38 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Building interface class map for 4 classes
2025-08-29 14:58:38 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Post-processing complete
2025-08-29 14:58:39 [pool-1-thread-1] INFO  o.n.o.drivers.bolt.driver.BoltDriver - Shutting down Bolt driver org.neo4j.driver.internal.InternalDriver@6bf64823 
2025-08-29 14:58:40 [pool-1-thread-1] INFO  org.server.action.UserAction - User connected !
2025-08-29 14:58:40 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"CONVERSATION_DISPLAY","payload":"{\"@json_id\":\"46b55a35-2041-49e2-86ac-7133d5e6c093\",\"id\":0,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$U9qpjYgWdBnqsGjux934kuky3CVGEC.VBsxWybAezoy.nBOcbc7Im\",\"emailAddress\":\"toto1.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:40 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Starting Post-processing phase
2025-08-29 14:58:40 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Building byLabel lookup maps
2025-08-29 14:58:40 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Building interface class map for 4 classes
2025-08-29 14:58:40 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Post-processing complete
2025-08-29 14:58:40 [pool-1-thread-1] INFO  o.n.o.drivers.bolt.driver.BoltDriver - Shutting down Bolt driver org.neo4j.driver.internal.InternalDriver@23504928 
2025-08-29 14:58:41 [pool-1-thread-1] INFO  o.server.action.ConversationAction - Conversations found !
2025-08-29 14:58:41 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"79771ea1-4bf7-4747-8e19-55f7dcd556a2\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:45 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"ONLINE_USERS_FETCH","payload":""}
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"CONVERSATION_GET","payload":"{\"@json_id\":\"21c544c2-9ad8-4582-b2f2-ad4ecf6e5cda\",\"id\":14,\"messages\":[],\"participants\":[]}"}
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Starting Post-processing phase
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Building byLabel lookup maps
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Building interface class map for 4 classes
